model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Explainable Boosting Machine,14,6540,2651,0.43606501414820903,0.40535168195718657,0.39781846756901074,0.48071918620910536,0.3935115319969426,0.41730295960077574
Explainable Boosting Machine,15,6541,3189,0.5668518753946914,0.4875401314783672,0.48074649612148235,0.83509091166783,0.4754375132359535,0.4996573767610787
Random Forest,1,6541,200,0.038924725444059956,0.030576364470264485,0.013242933319380474,0.053832037102613424,0.02667165551231573,0.035032144928018843
Random Forest,2,6540,459,0.06797253505548205,0.07018348623853211,0.05383940620755965,0.0836775481023791,0.06424116836370417,0.07663045664628995
Random Forest,3,6541,581,0.10067372966610998,0.08882433878611833,0.08369013319094551,0.11533353852267544,0.08216901196053376,0.0959623579415277
Random Forest,4,6540,769,0.12662267257697357,0.11758409785932722,0.1153342594477499,0.13698007422259353,0.11000076928011453,0.12561642536591724
Random Forest,5,6540,893,0.14686146021705757,0.13654434250764527,0.1369839526521124,0.15696734623934713,0.12843548839372834,0.14507993410671846
Random Forest,6,6541,1082,0.1679642957986115,0.16541813178413087,0.1569683224870362,0.17940229556408413,0.1566105122975053,0.1746185276841499
Random Forest,7,6540,1181,0.19205985247027826,0.18058103975535167,0.17940303365447777,0.20487341164007075,0.17144639460333863,0.19009071839768502
Random Forest,8,6541,1256,0.21841216536313934,0.19201956887326097,0.2048850284651532,0.2320449185797604,0.1826557463557289,0.20174493952183303
Random Forest,9,6540,1531,0.24502150245735238,0.23409785932721713,0.23205538435789963,0.2580053522343229,0.22399329842946739,0.24451461899934077
Random Forest,10,6540,1606,0.2710532021149924,0.245565749235474,0.2580054485765873,0.28419490326752417,0.23528524821190205,0.2561449844514313
Random Forest,11,6541,1816,0.2983068867442315,0.27763338939000154,0.28419673953427593,0.31325254184998663,0.2669133397856566,0.2886144823086168
Random Forest,12,6540,2079,0.33009354544732417,0.31788990825688074,0.31325549394296454,0.34798034156362667,0.3067138118863888,0.32927982218935037
Random Forest,13,6541,2280,0.3696738404435461,0.34857055496101513,0.34798482700916716,0.393833133478728,0.3371143199031224,0.36020455791356915
Random Forest,14,6540,2480,0.42648028089058426,0.37920489296636084,0.39383524634549805,0.4659233511528428,0.3675198303859821,0.39103178247701864
Random Forest,15,6541,3139,0.5336320572673843,0.4798960403608011,0.46592471930528834,0.7246520407744002,0.4678039394746778,0.4920117419315765
Linear SVM,1,6541,223,0.047939491563932866,0.0340926463843449,0.01343651829826917,0.06293108289260496,0.029961146225714993,0.038771090166377364
Linear SVM,2,6540,441,0.07470320227919301,0.06743119266055046,0.06293172750224521,0.08605634962546128,0.06160393125181135,0.07376633810189673
Linear SVM,3,6541,623,0.0973946121681675,0.09524537532487387,0.08605779018261818,0.1084951551357439,0.08836695101655749,0.10259895410175736
Linear SVM,4,6540,731,0.11953418580345607,0.1117737003058104,0.10849962082963863,0.13048110742838592,0.10436387289650745,0.11963934869736484
Linear SVM,5,6540,887,0.14126194922290142,0.13562691131498472,0.1304811715982374,0.15186396049363912,0.12754216652113917,0.1441394707605456
Linear SVM,6,6541,1000,0.16259570270055262,0.15288182235132242,0.1518665612100668,0.17334402837631757,0.1443643944154605,0.16180674347731905
Linear SVM,7,6540,1158,0.18480672585742947,0.17706422018348625,0.17334788676763568,0.19625425054611845,0.16800300179484312,0.18650460120092616
Linear SVM,8,6541,1294,0.20816138815368077,0.19782907812261122,0.1962544439125309,0.2206505462465688,0.18835353023017934,0.20765935417637374
Linear SVM,9,6540,1506,0.2336407489553542,0.23027522935779818,0.2206510752440812,0.2468431015046713,0.22023161928497248,0.24063552639899394
Linear SVM,10,6540,1663,0.26106048071741494,0.2542813455657492,0.2468431521362187,0.27546356405667405,0.24387383325326273,0.26497735898830976
Linear SVM,11,6541,1816,0.29137234886279034,0.27763338939000154,0.2754657787246726,0.3084395117970852,0.2669133397856566,0.2886144823086168
Linear SVM,12,6540,1976,0.3278763489185734,0.3021406727828746,0.30844031001399325,0.3484534886944116,0.29113049846433836,0.31338315602265276
Linear SVM,13,6541,2247,0.37309169688939303,0.3435254548234215,0.3484557009146917,0.40050798435778656,0.3321117139892097,0.3551228861575685
Linear SVM,14,6540,2605,0.4384361503253264,0.3983180428134557,0.4005129989245768,0.4835756566166342,0.3865161251156682,0.4102393464715413
Linear SVM,15,6541,3182,0.5598868327279963,0.48646995872190796,0.48362601682665807,0.8121772566176754,0.4743686423198872,0.49858715847443613
MLP Neural Network,1,6541,181,0.03548222831436522,0.02767160984558936,0.006589784627938203,0.05180473949696286,0.023965170351626822,0.03193253082421218
MLP Neural Network,2,6540,410,0.06674019096721762,0.06269113149847094,0.05181681404530255,0.0812993767840668,0.057068922221411224,0.06882679016869306
MLP Neural Network,3,6541,566,0.09491126100285825,0.08653111145084849,0.0813008171220316,0.10796516237158417,0.0799580322578093,0.09358957506701883
MLP Neural Network,4,6540,742,0.11986850648031018,0.11345565749235474,0.10796525281944201,0.13143883439261275,0.1059949540459342,0.12137020711566848
MLP Neural Network,5,6540,878,0.1428750241457026,0.13425076452599388,0.13144072251129363,0.15416995358390148,0.12620242183253302,0.1427285376210087
MLP Neural Network,6,6541,957,0.16545195082283873,0.14630790399021557,0.1541705456808946,0.17661062928903273,0.13795068123646226,0.15508033726824838
MLP Neural Network,7,6540,1152,0.18812033291327568,0.1761467889908257,0.17661296386514994,0.19944329957634643,0.16710494539688026,0.18556887238012704
MLP Neural Network,8,6541,1350,0.21098012424950466,0.20639046017428528,0.1994439209555892,0.22281746785706058,0.19675612309788618,0.21636947493033806
MLP Neural Network,9,6540,1444,0.23565596283698975,0.22079510703363914,0.22281778990050735,0.2487222758648226,0.21090781404315856,0.23101021771360025
MLP Neural Network,10,6540,1617,0.26189672260447067,0.24724770642201835,0.24872390249215554,0.27554901271689297,0.23694225177819794,0.25784992045286576
