model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Modified FT-Transformer-style,1,6541,203,0.020497512929039008,0.031035009937318454,0.015071884728968138,0.0283790584653616,0.027099941513760772,0.03552061144202047
Modified FT-Transformer-style,2,6540,393,0.03927083872885241,0.06009174311926606,0.028382621705532077,0.05081579834222794,0.05458596487270065,0.06611402273091127
Modified FT-Transformer-style,3,6541,612,0.06220673814249629,0.09356367527900933,0.05081693828105926,0.07307426631450652,0.0867426914236096,0.10086178780473412
Modified FT-Transformer-style,4,6540,745,0.08262298287259877,0.11391437308868502,0.07307475060224533,0.09184145927429199,0.10643988785372967,0.12184216591725401
Modified FT-Transformer-style,5,6540,843,0.1006725041292585,0.12889908256880733,0.09184298664331438,0.10942542552947995,0.12099508649709281,0.13723879251367047
Modified FT-Transformer-style,6,6541,989,0.11820484321132163,0.15120012230545787,0.1094286888837814,0.1269761174917221,0.142723131110229,0.16008658089257943
Modified FT-Transformer-style,7,6540,1157,0.1361147824822945,0.17691131498470947,0.12697730958461761,0.1456154584884644,0.16785331935584105,0.18634865277013454
Modified FT-Transformer-style,8,6541,1311,0.15535750921358302,0.2004280691025837,0.1456177830696106,0.165513888001442,0.19090359111099012,0.21030422421642744
Modified FT-Transformer-style,9,6540,1539,0.17599905113880424,0.2353211009174312,0.165515810251236,0.1869692206382752,0.22519728271564698,0.24575568167151046
Modified FT-Transformer-style,10,6540,1658,0.19914812934143464,0.25351681957186545,0.18697266280651095,0.2116070538759231,0.24312022303134131,0.26420281486126285
Modified FT-Transformer-style,11,6541,1793,0.22532448680361483,0.2741171074759211,0.21160884201526636,0.2397376894950866,0.2634418125915229,0.2850575735509928
Modified FT-Transformer-style,12,6540,1973,0.2562549650167836,0.30168195718654434,0.23973977565765378,0.2743040025234222,0.2906768447373779,0.3129199171402322
Modified FT-Transformer-style,13,6541,2291,0.2953247233753703,0.3502522550068797,0.27431845664978016,0.3180814683437347,0.33878217233209557,0.3618981313745671
Modified FT-Transformer-style,14,6540,2636,0.3473742363968756,0.40305810397553515,0.3180857300758362,0.3827840685844422,0.39123014195449846,0.4149998865963147
Modified FT-Transformer-style,15,6541,3209,0.45503583472085973,0.49059776792539367,0.38278543949127203,0.6579089760780334,0.47849173599818307,0.5027148374351602
